x=2.500000000000e-01	f(x)=5.206108093262e-03	g(x)=5.206074565649e-03
x=6.250000000000e-02	f(x)=3.256797790527e-04	g(x)=3.255119954702e-04
x=1.562500000000e-02	f(x)=2.050399780273e-05	g(x)=2.034501630988e-05
x=3.906250000000e-03	f(x)=1.430511474609e-06	g(x)=1.271565565730e-06
x=9.765625000000e-04	f(x)=0.000000000000e+00	g(x)=7.947286206900e-08
x=2.441406250000e-04	f(x)=0.000000000000e+00	g(x)=4.967053879312e-09
x=6.103515625000e-05	f(x)=0.000000000000e+00	g(x)=3.104408674570e-10
x=1.525878906250e-05	f(x)=0.000000000000e+00	g(x)=1.940255421606e-11
x=3.814697265625e-06	f(x)=0.000000000000e+00	g(x)=1.212659638504e-12
x=9.536743164062e-07	f(x)=0.000000000000e+00	g(x)=7.579122740650e-14
x=2.384185791016e-07	f(x)=0.000000000000e+00	g(x)=4.736951712906e-15
